Date,Open,High,Low,Close,Adj Close,Volume
2022-12-14,336.049988,339.799988,332.250000,334.049988,331.432037,208818
2022-12-15,337.000000,349.000000,335.850006,337.950012,335.301514,497198
2022-12-16,336.600006,346.649994,314.100006,318.700012,316.202362,915808
2022-12-19,321.600006,325.000000,311.100006,313.399994,310.943878,406098
2022-12-20,318.799988,327.450012,315.000000,323.600006,321.063965,416088
2022-12-21,324.950012,328.000000,310.299988,319.399994,316.896851,600397
2022-12-22,316.100006,323.700012,310.299988,313.700012,311.241547,350803
2022-12-23,310.000000,319.899994,295.950012,299.750000,297.400848,569413
2022-12-26,299.950012,315.000000,293.799988,307.149994,304.742859,425616
2022-12-27,312.000000,324.899994,309.000000,323.250000,320.716705,373543
2022-12-28,324.000000,324.000000,315.000000,316.399994,313.920380,138030
2022-12-29,316.399994,322.299988,313.299988,315.200012,312.729797,128568
2022-12-30,317.100006,329.049988,317.100006,322.600006,320.071777,302173
2023-01-02,323.000000,324.899994,313.149994,314.850006,312.382538,184938
2023-01-03,315.149994,323.700012,314.000000,316.299988,313.821136,184069
2023-01-04,317.000000,322.000000,315.000000,317.100006,314.614899,131498
2023-01-05,321.000000,324.500000,314.000000,316.200012,313.721954,260857
2023-01-06,319.000000,321.350006,309.000000,310.399994,307.967377,177098
2023-01-09,313.049988,318.350006,307.049988,311.200012,308.761139,271999
2023-01-10,312.500000,315.600006,306.049988,309.000000,306.578369,137738
2023-01-11,309.899994,317.750000,308.000000,311.399994,308.959564,211843
2023-01-12,313.899994,321.000000,312.049988,316.600006,314.118805,263477
2023-01-13,318.850006,320.600006,312.350006,314.399994,311.936035,148770
2023-01-16,314.600006,319.399994,313.049988,317.850006,315.359009,250819
2023-01-17,319.000000,325.000000,314.200012,315.299988,312.828979,438747
2023-01-18,316.899994,328.149994,316.549988,323.850006,321.311981,420875
2023-01-19,323.500000,325.500000,316.000000,318.149994,315.656647,255613
2023-01-20,319.549988,325.000000,318.000000,322.500000,319.972565,143228
2023-01-23,324.850006,334.899994,323.600006,329.549988,326.967316,276636
2023-01-24,332.000000,333.000000,311.649994,314.200012,311.737640,405697
2023-01-25,316.000000,316.799988,300.850006,307.950012,305.536621,253987
2023-01-27,308.000000,313.049988,288.100006,298.750000,296.408691,225177
2023-01-30,294.500000,306.649994,290.200012,294.049988,291.745514,89519
2023-01-31,298.000000,317.000000,293.049988,313.399994,310.943878,919465
2023-02-01,316.500000,321.950012,300.000000,305.299988,302.907349,229907
2023-02-02,304.899994,313.000000,300.000000,305.799988,303.403442,91761
2023-02-03,307.500000,311.000000,300.000000,307.100006,304.693268,116726
